stage,little,medium,big,vulkan,device,run
1,33.8333,6.6556,9.1273,5.522,9b034f1b,1
2,27.4595,16.3387,19.6275,3.7463,9b034f1b,1
3,17.5,3.5512,3.2993,3.3805,9b034f1b,1
4,14.0694,8.4118,9.3056,2.2773,9b034f1b,1
5,9.3426,2.1139,2.8682,2.1969,9b034f1b,1
6,9.4206,2.1184,2.8682,2.19,9b034f1b,1
7,9.4486,2.1163,2.1667,2.1848,9b034f1b,1
8,7.3043,4.4273,5.1173,2.2411,9b034f1b,1
9,0.0348,0.0172,0.036,0.8705,9b034f1b,1
1,33.6667,6.649,6.8095,5.4511,9b034f1b,1
2,27.2162,16.3226,10.1313,3.7148,9b034f1b,1
3,17.4138,3.5532,3.8876,3.3771,9b034f1b,1
4,14.1111,8.4,9.1091,2.3057,9b034f1b,1
5,9.4717,2.116,2.6552,2.2163,9b034f1b,1
6,9.3832,2.125,1.7378,1.8799,9b034f1b,1
7,9.4486,2.1163,2.2022,2.2044,9b034f1b,1
8,7.3504,4.4381,5.2684,2.2766,9b034f1b,1
9,0.0335,0.0171,0.0445,0.8736,9b034f1b,1
