stage,little,medium,big,vulkan,device,run
1,20.22,5.7607,4.6483,4.0359,3A021JEHN02756,1
2,24.6341,12.8662,12.1687,2.0591,3A021JEHN02756,1
3,11.3559,2.9515,2.8592,2.1047,3A021JEHN02756,1
4,12.8217,6.5357,6.71,1.5926,3A021JEHN02756,1
5,6.8129,1.6678,1.7789,1.6075,3A021JEHN02756,1
6,6.7057,1.6681,1.7806,1.6053,3A021JEHN02756,1
7,6.7669,1.6622,1.798,1.8968,3A021JEHN02756,1
8,7.7752,3.5567,3.595,1.1998,3A021JEHN02756,1
9,0.0389,0.0149,0.0123,0.3192,3A021JEHN02756,1
1,20.2828,5.7701,4.8038,3.7393,3A021JEHN02756,2
2,24.9136,12.6125,12.2303,2.0529,3A021JEHN02756,2
3,11.6012,2.9733,2.9602,2.106,3A021JEHN02756,2
4,13.3113,6.8601,6.9072,1.5889,3A021JEHN02756,2
5,6.68,1.6784,1.8607,1.6798,3A021JEHN02756,2
6,6.7635,1.6852,1.8435,1.9195,3A021JEHN02756,2
7,6.8832,1.6989,1.8633,2.0628,3A021JEHN02756,2
8,7.231,3.4714,3.7161,1.2023,3A021JEHN02756,2
9,0.0416,0.0145,0.015,0.3175,3A021JEHN02756,2
1,19.8911,5.7896,4.8881,3.7906,3A021JEHN02756,3
2,24.622,12.7785,12.6188,2.226,3A021JEHN02756,3
3,11.6012,3.0548,3.1507,2.2425,3A021JEHN02756,3
4,13.1373,6.5902,6.745,1.819,3A021JEHN02756,3
5,6.6457,1.6851,1.881,1.6043,3A021JEHN02756,3
6,6.8102,1.6645,1.8414,1.9115,3A021JEHN02756,3
7,6.8832,1.7061,1.9466,1.9637,3A021JEHN02756,3
8,7.2645,3.5362,3.7477,1.202,3A021JEHN02756,3
9,0.0395,0.0153,0.0178,0.282,3A021JEHN02756,3
