stage,little,medium,big,vulkan,device,run
1,37.1667,6.2136,4.7002,2.6796,9b034f1b,1
2,29.7647,15.218,9.9216,2.1238,9b034f1b,1
3,18.4037,3.3048,2.4674,2.4227,9b034f1b,1
4,15.7638,7.8203,5.0812,1.5075,9b034f1b,1
5,10.198,1.9638,1.4279,1.3501,9b034f1b,1
6,9.8621,1.9647,1.4424,1.3418,9b034f1b,1
7,10.9617,1.998,1.4288,1.3518,9b034f1b,1
8,8.3542,4.1426,2.7732,0.871,9b034f1b,1
9,0.0874,0.0173,0.0147,0.2922,9b034f1b,1
1,35.9643,6.3937,4.7056,2.6925,9b034f1b,2
2,28.7714,15.1429,10.1206,2.0936,9b034f1b,2
3,18.0901,3.3026,2.4608,2.431,9b034f1b,2
4,15.1278,7.8594,5.1196,1.4783,9b034f1b,2
5,10.6862,1.9715,1.4248,1.3501,9b034f1b,2
6,10.1726,1.9705,1.4183,1.3459,9b034f1b,2
7,10.4375,1.9686,1.4386,1.3577,9b034f1b,2
8,8.3237,4.1705,2.7517,0.8722,9b034f1b,2
9,0.0838,0.0172,0.0148,0.2906,9b034f1b,2
1,36.5455,6.2229,4.7406,2.6872,9b034f1b,3
2,29.1594,15.1278,9.8146,2.318,9b034f1b,3
3,18.3945,3.2977,2.4753,2.4157,9b034f1b,3
4,16.1855,7.8706,5.1727,1.4834,9b034f1b,3
5,11.0495,2.001,1.4334,1.3506,9b034f1b,3
6,10.8216,1.9647,1.4269,1.3491,9b034f1b,3
7,10.4974,2.001,1.4743,1.3484,9b034f1b,3
8,8.3808,4.1816,2.7666,0.8686,9b034f1b,3
9,0.0881,0.0173,0.0147,0.2907,9b034f1b,3
