stage,little,medium,big,vulkan,device,run
1,34.7586,8.2893,9.8137,5.7151,9b034f1b,1
2,27.04,16.2927,16.9412,3.7542,9b034f1b,1
3,17.4957,4.3587,5.2435,3.66,9b034f1b,1
4,13.8897,8.4076,10.1414,2.2253,9b034f1b,1
5,9.3645,2.5013,3.0643,2.2761,9b034f1b,1
6,9.3535,2.5025,3.009,2.3772,9b034f1b,1
7,9.3395,2.5013,1.6163,2.4191,9b034f1b,1
8,7.2536,4.4097,5.1865,2.5879,9b034f1b,1
9,0.0343,0.017,0.045,0.8781,9b034f1b,1
1,33.5333,8.2686,9.7805,5.6742,9b034f1b,2
2,27.3514,16.2339,16.3934,3.8726,9b034f1b,2
3,17.9554,4.369,3.8426,3.4689,9b034f1b,2
4,14.9185,8.4515,9.0405,2.9543,9b034f1b,2
5,9.4528,2.5038,2.8423,2.3427,9b034f1b,2
6,9.4858,2.5013,3.0457,2.275,9b034f1b,2
7,9.4225,2.5025,2.4932,2.3118,9b034f1b,2
8,7.28,4.4172,4.8101,2.5627,9b034f1b,2
9,0.0335,0.0171,0.0449,0.891,9b034f1b,2
1,33.3833,8.2893,8.2893,5.8367,9b034f1b,3
2,28.7714,16.2661,19.2095,3.8593,9b034f1b,3
3,17.6404,4.3712,4.5581,3.5291,9b034f1b,3
4,14.007,8.3849,10.1515,2.7844,9b034f1b,3
5,9.3972,2.5025,3.0612,2.3744,9b034f1b,3
6,9.4623,2.5081,3.058,2.3902,9b034f1b,3
7,9.5071,2.5006,3.003,2.345,9b034f1b,3
8,7.28,4.4119,5.4809,2.6047,9b034f1b,3
9,0.034,0.0169,0.0408,0.8634,9b034f1b,3
