device,,3A021JEHN02756,3A021JEHN02756,3A021JEHN02756,3A021JEHN02756,9b034f1b,9b034f1b,9b034f1b,9b034f1b,jetson,jetson,jetson,jetson,jetsonlowpower,jetsonlowpower,jetsonlowpower,jetsonlowpower
processor,,big,gpu,little,medium,big,gpu,little,medium,big,gpu,little,medium,big,gpu,little,medium
app,run_type,,,,,,,,,,,,,,,,
cifar-dense,fully,137.41531111111112,0.7692259259259259,348.1774777777778,118.71613703703702,77.00916296296298,0.6823111111111111,284.1973148148148,125.9219,0.0,3.2380666666666666,61.38126666666666,0.0,0.0,11.731737037037039,125.58041111111112,0.0
cifar-dense,normal,103.88365185185184,1.3175185185185183,266.0195444444444,93.95043703703703,124.87094444444445,1.3545222222222222,256.05971111111114,135.26837037037035,0.0,3.2710444444444446,59.05128518518519,0.0,0.0,11.524107407407406,124.46271851851851,0.0
cifar-sparse,fully,6.230051851851851,2.0924444444444443,13.965396296296298,4.629988888888889,3.246925925925926,1.6228407407407408,15.584833333333332,4.8687555555555555,0.0,1.0061,3.267807407407408,0.0,0.0,3.0517555555555553,5.629077777777777,0.0
cifar-sparse,normal,4.377133333333334,4.7125407407407405,15.264733333333336,4.394925925925927,5.574396296296295,2.7127888888888894,15.419377777777775,5.177385185185185,0.0,1.1118074074074071,2.26542962962963,0.0,0.0,3.0022333333333333,4.7925,0.0
tree,fully,2.220014285714286,3.4321619047619043,4.338357142857143,1.9070142857142858,1.2556214285714287,4.2702857142857145,3.2450785714285715,1.5836999999999999,,,,,,,,
tree,normal,1.1940857142857142,4.599161904761905,3.5068714285714284,1.276847619047619,1.7775785714285715,6.854785714285716,2.5947,1.6505785714285715,,,,,,,,
