stage,little,medium,big,vulkan,device,run
1,128.8125,71.9643,82.2,1.5759,9b034f1b,1
2,9.0045,4.1405,5.0,1.0443,9b034f1b,1
3,294.7143,187.3636,208.0,1.2335,9b034f1b,1
4,4.4754,2.0649,2.5202,0.9723,9b034f1b,1
5,279.875,184.1818,179.8333,1.2404,9b034f1b,1
6,548.25,367.1667,350.1667,1.5784,9b034f1b,1
7,551.5,365.8333,337.5,1.5702,9b034f1b,1
8,2.2619,1.0272,1.1882,0.936,9b034f1b,1
9,1.0303,0.7847,0.8418,2.4564,9b034f1b,1
1,125.75,72.1786,84.9583,1.5416,9b034f1b,2
2,8.9333,4.1278,4.9925,1.0121,9b034f1b,2
3,295.8571,188.6364,204.9,1.2303,9b034f1b,2
4,4.4688,2.0608,2.5063,0.9412,9b034f1b,2
5,280.125,186.0,193.0909,1.2412,9b034f1b,2
6,547.75,365.1667,349.3333,1.608,9b034f1b,2
7,548.25,367.8333,351.8333,1.5697,9b034f1b,2
8,2.2596,1.0288,1.2444,0.9368,9b034f1b,2
9,1.0314,0.7842,0.9355,2.5019,9b034f1b,2
1,126.625,72.3571,73.0,1.5705,9b034f1b,3
2,8.9643,4.1405,5.0025,1.0362,9b034f1b,3
3,290.8571,187.4545,214.8,1.2311,9b034f1b,3
4,4.526,2.0576,2.5044,0.9685,9b034f1b,3
5,278.0,185.0909,196.7273,1.3027,9b034f1b,3
6,547.0,364.6667,386.8333,1.5722,9b034f1b,3
7,552.75,364.5,395.3333,1.556,9b034f1b,3
8,2.248,1.0235,1.2602,0.923,9b034f1b,3
9,1.0427,0.7829,0.9381,2.5163,9b034f1b,3
