stage,little,medium,big,vulkan,cuda,device,run
1,0.000000,0.000000,0.060245,0.141651,0.000000,minipc,1
2,0.000000,0.000000,0.598916,0.867802,0.000000,minipc,1
3,0.000000,0.000000,0.259787,0.253655,0.000000,minipc,1
4,0.000000,0.000000,0.566034,0.238407,0.000000,minipc,1
5,0.000000,0.000000,0.056539,0.107897,0.000000,minipc,1
6,0.000000,0.000000,0.267021,0.167190,0.000000,minipc,1
7,0.000000,0.000000,0.310695,0.288021,0.000000,minipc,1
