[1/2] Processing device: 3A021JEHN02756
Deploying and running 'bm-mini-cifar-sparse-vk' on device: 3A021JEHN02756
build/android/arm64-v8a/release/bm-mini-cifar-sparse-vk: 1 file pushed, 0 skipped. 482.0 MB/s (2275288 bytes in 0.005s)
[2025-04-10 16:35:15.966] [info] Little cores: 0 1 2 3
[2025-04-10 16:35:15.968] [info] Medium cores: 4 5
[2025-04-10 16:35:15.968] [info] Big cores: 6 7
2025-04-10T16:35:15-07:00
Running /data/local/tmp/bm-mini-cifar-sparse-vk
Run on (8 X 1803 MHz CPU s)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------
Benchmark                           Time             CPU   Iterations
BM_run_OMP_stage/6               3.16 ms        0.371 ms         1000
BM_run_OMP_stage/6               2.94 ms        0.372 ms         1000
BM_run_OMP_stage/6               3.11 ms        0.380 ms         1000
BM_run_OMP_stage/6               3.14 ms        0.352 ms         1000
BM_run_OMP_stage/6_mean          3.16 ms        0.382 ms           10
BM_run_OMP_stage/6_median        3.16 ms        0.377 ms           10
BM_run_OMP_stage/6_stddev       0.097 ms        0.022 ms           10
BM_run_OMP_stage/6_cv            3.08 %          5.71 %            10
BM_run_OMP_stage/7               3.05 ms        0.323 ms         1000
BM_run_OMP_stage/7               2.99 ms        0.374 ms         1000
BM_run_OMP_stage/7               3.18 ms        0.401 ms         1000
BM_run_OMP_stage/7               3.17 ms        0.402 ms         1000
BM_run_OMP_stage/7               3.13 ms        0.325 ms         1000
BM_run_OMP_stage/7               2.96 ms        0.399 ms         1000
BM_run_OMP_stage/7               2.13 ms        0.166 ms         1000
BM_run_OMP_stage/7               2.36 ms        0.305 ms         1000
BM_run_OMP_stage/7               3.22 ms        0.400 ms         1000
BM_run_OMP_stage/7               2.45 ms        0.334 ms         1000
BM_run_OMP_stage/7_mean          2.86 ms        0.343 ms           10
BM_run_OMP_stage/7_median        3.02 ms        0.354 ms           10
BM_run_OMP_stage/7_stddev       0.397 ms        0.073 ms           10
BM_run_OMP_stage/7_cv           13.84 %         21.23 %            10
BM_run_OMP_stage/8               3.84 ms        0.414 ms         3271
BM_run_OMP_stage/8               3.74 ms        0.406 ms         3271
BM_run_OMP_stage/8               1.84 ms        0.295 ms         3271
BM_run_OMP_stage/8               2.85 ms        0.365 ms         3271
BM_run_OMP_stage/8               3.69 ms        0.389 ms         3271
BM_run_OMP_stage/8               2.23 ms        0.252 ms         3271
BM_run_OMP_stage/8               3.86 ms        0.422 ms         3271
BM_run_OMP_stage/8               3.38 ms        0.341 ms         3271
BM_run_OMP_stage/8               3.84 ms        0.415 ms         3271
BM_run_OMP_stage/8               3.73 ms        0.415 ms         3271
BM_run_OMP_stage/8_mean          3.30 ms        0.372 ms           10
BM_run_OMP_stage/8_median        3.71 ms        0.397 ms           10
BM_run_OMP_stage/8_stddev       0.738 ms        0.058 ms           10
BM_run_OMP_stage/8_cv           22.36 %         15.69 %            10
BM_run_OMP_stage/9              0.614 ms        0.243 ms         5432
BM_run_OMP_stage/9              0.595 ms        0.231 ms         5432
BM_run_OMP_stage/9              0.594 ms        0.224 ms         5432
BM_run_OMP_stage/9              0.619 ms        0.240 ms         5432
BM_run_OMP_stage/9              0.535 ms        0.163 ms         5432
BM_run_OMP_stage/9              0.596 ms        0.211 ms         5432
BM_run_OMP_stage/9              0.617 ms        0.239 ms         5432
BM_run_OMP_stage/9              0.580 ms        0.206 ms         5432
BM_run_OMP_stage/9              0.612 ms        0.230 ms         5432
BM_run_OMP_stage/9              0.629 ms        0.251 ms         5432
BM_run_OMP_stage/9_mean         0.599 ms        0.224 ms           10
BM_run_OMP_stage/9_median       0.604 ms        0.230 ms           10
BM_run_OMP_stage/9_stddev       0.027 ms        0.025 ms           10
BM_run_OMP_stage/9_cv            4.48 %         11.39 %            10


Stage	Time_ms
1	7.73
2	10.2
3	5.4
4	5.82
5	3.14
6	3.16
7	2.86
8	3.3
9	0.599

The sum of the mean times for Stage 1-9 is approximately:


42.209 ms
The baseline mean time is:


43.4 ms
Percentage difference:
diff

-2.74 %
