Device,Application,Schedule_UID,Task_ID,Total_Duration_ms
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,67,68.5579833984375
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,68,69.48067220052083
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,69,69.63423665364583
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,70,68.63785807291666
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,71,68.07954915364583
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,72,69.11307779947916
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,73,68.5218505859375
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,74,68.278564453125
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,75,68.57564290364583
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,76,70.17521158854166
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,77,68.546142578125
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,78,69.3399658203125
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,79,68.50752766927083
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,80,68.953125
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,81,68.96675618489583
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,82,70.83207194010416
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,83,70.0074462890625
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,84,69.23966471354166
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,85,68.17488606770833
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,86,67.77510579427083
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,87,69.004150390625
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,88,68.8436279296875
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,89,69.4656982421875
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,90,70.39786783854166
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,91,68.31510416666666
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,92,68.26224772135416
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,93,69.60697428385416
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,94,68.65376790364583
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,95,68.54508463541666
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,96,69.35856119791666
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,97,68.35953776041666
